stem,grade,min_val,max_val,condition,comment
hb,0,,,Normal,Grade 0 (Normal)
hb,1,,,Anemia,Grade 1 (Anemia)
hb,2,,,Anemia,Grade 2 (Anemia)
hb,3,,,Anemia,Grade 3 (Anemia)
hb,4,,,Anemia,Grade 4 (Anemia)
plt,0,,,Normal,Grade 0 (Normal)
plt,1,,,Thrombocytopenia,Grade 1 (Thrombocytopenia)
plt,2,,,Thrombocytopenia,Grade 2 (Thrombocytopenia)
plt,3,,,Thrombocytopenia,Grade 3 (Thrombocytopenia)
plt,4,,,Thrombocytopenia,Grade 4 (Thrombocytopenia)
wbc,0,,,Normal,Grade 0 (Normal)
wbc,1,,,Leucopenia,Grade 1 (Leucopenia)
wbc,2,,,Leucopenia,Grade 2 (Leucopenia)
wbc,3,,,Leucopenia,Grade 3 (Leucopenia)
wbc,4,,,Leucopenia,Grade 4 (Leucopenia)
anc,0,,,Normal,Grade 0 (Normal)
anc,1,,,Neutropenia,Grade 1 (Neutropenia)
anc,2,,,Neutropenia,Grade 2 (Neutropenia)
anc,3,,,Neutropenia,Grade 3 (Neutropenia)
anc,4,,,Neutropenia,Grade 4 (Neutropenia)
lcc,0,,,Normal,Grade 0 (Normal)
lcc,1,,,Decreased lymphocyte count,Grade 1 (Decreased lymphocyte count)
lcc,2,,,Decreased lymphocyte count,Grade 2 (Decreased lymphocyte count)
lcc,3,,,Decreased lymphocyte count,Grade 3 (Decreased lymphocyte count)
lcc,4,,,Decreased lymphocyte count,Grade 4 (Decreased lymphocyte count)
sodium,0,,,Normal,Grade 0 (Normal)
sodium,1,,,Hyponatremia,Grade 1 (Hyponatremia)
sodium,2,,,Hyponatremia,Grade 2 (Hyponatremia)
sodium,3,,,Hyponatremia,Grade 3 (Hyponatremia)
sodium,4,,,Hyponatremia,Grade 4 (Hyponatremia)
potassium,0,,,Normal,Grade 0 (Normal)
potassium,1,,,Hypokalemia,Grade 1 (Hypokalemia)
potassium,1,,,Hyperkalemia,Grade 1 (Hyperkalemia)
potassium,2,,,Hypokalemia,Grade 2 (Hypokalemia)
potassium,2,,,Hyperkalemia,Grade 2 (Hyperkalemia)
potassium,3,,,Hypokalemia,Grade 3 (Hypokalemia)
potassium,3,,,Hyperkalemia,Grade 3 (Hyperkalemia)
potassium,4,,,Hypokalemia,Grade 4 (Hypokalemia)
potassium,4,,,Hyperkalemia,Grade 4 (Hyperkalemia)
alb,0,,,Normal,Grade 0 (Normal)
alb,1,,,Hypoalbuminemia,Grade 1 (Hypoalbuminemia)
alb,2,,,Hypoalbuminemia,Grade 2 (Hypoalbuminemia)
alb,3,,,Hypoalbuminemia,Grade 3 (Hypoalbuminemia)
alb,4,,,Hypoalbuminemia,Grade 4 (Hypoalbuminemia)
tbil,0,,,Normal,Grade 0 (Normal)
tbil,1,,,Hyperbilirubinemia,Grade 1 (Hyperbilirubinemia)
tbil,2,,,Hyperbilirubinemia,Grade 2 (Hyperbilirubinemia)
tbil,3,,,Hyperbilirubinemia,Grade 3 (Hyperbilirubinemia)
tbil,4,,,Hyperbilirubinemia,Grade 4 (Hyperbilirubinemia)
alp,0,,,Normal,Grade 0 (Normal)
alp,1,,,Increased alkaline phosphatase,Grade 1 (Increased alkaline phosphatase)
alp,2,,,Increased alkaline phosphatase,Grade 2 (Increased alkaline phosphatase)
alp,3,,,Increased alkaline phosphatase,Grade 3 (Increased alkaline phosphatase)
alp,4,,,Increased alkaline phosphatase,Grade 4 (Increased alkaline phosphatase)
alt,0,,,Normal,Grade 0 (Normal)
alt,1,,,Increased alanine aminotransferase,Grade 1 (Increased alanine aminotransferase)
alt,2,,,Increased alanine aminotransferase,Grade 2 (Increased alanine aminotransferase)
alt,3,,,Increased alanine aminotransferase,Grade 3 (Increased alanine aminotransferase)
alt,4,,,Increased alanine aminotransferase,Grade 4 (Increased alanine aminotransferase)
ast,0,,,Normal,Grade 0 (Normal)
ast,1,,,Increased aspartate aminotransferase,Grade 1 (Increased aspartate aminotransferase)
ast,2,,,Increased aspartate aminotransferase,Grade 2 (Increased aspartate aminotransferase)
ast,3,,,Increased aspartate aminotransferase,Grade 3 (Increased aspartate aminotransferase)
ast,4,,,Increased aspartate aminotransferase,Grade 4 (Increased aspartate aminotransferase)
ggt,,,,,
,,,,,
,,,,,
mcv,,,,,
mch,,,,,
tp,,,,,
dbil,,,,,
